name,speed,range,rating,reviews,price,emi,extra_details
Raftaar Bumblebee,40 km/Hr,100 km/charge,4.1,2,"Rs 88,000 * Onwards","EMI starts from ₹2,538",4-5 Hr
ADMS GTR,80 km/Hr,60-80 km/charge,4.7,11,"Rs 95,000 * Onwards","EMI starts from ₹2,731",4-8 Hr
Okinawa R30,25 km/Hr,60 km/charge,4.2,35,"Rs 61,998 * Onwards","EMI starts from ₹1,799",4-5 Hr
Okaya Freedum,25 km/Hr,75 km/charge,4.1,29,"Rs 69,999 * Onwards","EMI starts from ₹2,024",5-6 Hr
Gravton Quanta,70 km/Hr,130 km/charge,4.7,4,"Rs 1,20,000 * Onwards","EMI starts from ₹3,470",3 Hr
Gaura Warrior 5G,25 km/Hr,120 km/charge,4.7,1,"Rs 62,999 * Onwards","EMI starts from ₹1,831",4-5 Hr
Tunwal Roma N,25 km/Hr,70-80 km/charge,0.0,0,"Rs 64,993 * Onwards","EMI starts from ₹1,895",7-8 Hr
BNC Motors Challenger,70 km/Hr,180 km/charge,4.6,8,"Rs 99,900 * Onwards","EMI starts from ₹2,888",8 Hr
Okinawa Lite,25 km/Hr,60 km/charge,4.1,40,"Rs 69,093 * Onwards","EMI starts from ₹1,995",4-5 Hr
Joy e-bike Wolf,46 km/Hr,90 km/charge,4.2,4,"Rs 54,999 * Onwards","EMI starts from ₹1,606",5-5.5 Hr
Tunwal Alfa Pro,25 km/Hr,100-110 km/charge,0.0,0,"Rs 60,888 * Onwards","EMI starts from ₹1,763",4-5 Hr
Warivo Edge,25 km/Hr,60 km/charge,5.0,1,"Rs 44,999 * Onwards","EMI starts from ₹1,317",N/A
Yakuza Nebula,25 km/Hr,55 km/charge,0.0,0,"Rs 55,800 * Onwards","EMI starts from ₹1,600",6-8 Hr
Shema Eagle,50 km/Hr,80 km/charge,3.0,1,"Rs 64,999 * Onwards","EMI starts from ₹1,895",6 Hr
Zelio X Men Plus,25 km/Hr,120 km/charge,4.8,1,"Rs 60,000 * Onwards","EMI starts from ₹1,735",8-10 Hr
Komaki XR1,70-80 km/charge,N/A,4.4,8,"Rs 29,999 * Onwards",EMI starts from ₹867,N/A
Green Invicta,25 km/Hr,60 km/charge,0.0,0,"Rs 39,499 * Onwards","EMI starts from ₹1,140",4-6 Hr
Komaki Flora,70 km/Hr,80-100 km/charge,4.3,13,"Rs 61,000 * Onwards","EMI starts from ₹1,767",4-5 Hr
Okinawa iPraise+,58 km/Hr,139 km/charge,4.1,60,"Rs 1,22,955 * Onwards","EMI starts from ₹3,565",4-5 Hr
Deltic Legion,25 km/Hr,100 km/charge,4.2,8,"Rs 69,490 * Onwards","EMI starts from ₹2,008",3-4 Hr
ADMS EVA,70 km/Hr,90-150 km/charge,4.6,6,"Rs 1,35,000 * Onwards","EMI starts from ₹3,887",N/A
Yo Drift DX,25 km/Hr,60 km/charge,3.9,3,"Rs 65,000 * Onwards","EMI starts from ₹1,863",10 Hr
Komaki FAM 1.0,100 km/charge,3-4 Hr,3.8,1,"Rs 99,999 * Onwards","EMI starts from ₹2,891",N/A
Komaki Venice,80 km/Hr,300 km/charge,4.4,7,"Rs 1,03,900 * Onwards","EMI starts from ₹3,017",5 Hr
Tunwal Alfa Lite,25 km/Hr,50-60 km/charge,0.0,0,"Rs 44,993 * Onwards","EMI starts from ₹1,317",7-8 Hr
Jitendra JMT 1000,49 km/Hr,90 km/charge,5.0,1,"Rs 65,997 * Onwards","EMI starts from ₹1,895",3.5 Hr
Warivo CRX,55 km/Hr,85-90 km/charge,5.0,1,"Rs 79,999 * Onwards","EMI starts from ₹2,313",N/A
Gaura Sniper 5G,25 km/Hr,60 km/charge,0.0,0,"Rs 52,990 * Onwards","EMI starts from ₹1,542",4-5 Hr
Ozotec Bheem,65 km/Hr,215 km/charge,4.2,15,"Rs 1,15,490 * Onwards","EMI starts from ₹3,325",4.5 Hr
Tunwal Storm XL,25 km/Hr,70-80 km/charge,0.0,0,"Rs 64,888 * Onwards","EMI starts from ₹1,892",7-8 Hr
MX Moto MG Pro,40 km/Hr,100-110 km/charge,3.8,1,"Rs 69,999 * Onwards","EMI starts from ₹2,024",N/A
Zelo Knight Plus,55 km/Hr,100 km/charge,3.9,2,"Rs 59,990 * Onwards","EMI starts from ₹1,735",N/A
Gaura G6,75 km/Hr,154 km/charge,0.0,0,"Rs 99,999 * Onwards","EMI starts from ₹2,891",4-5 Hr
E-Went Rabbitor,28 km/Hr,60-70 km/charge,4.3,3,"Rs 60,100 * Onwards","EMI starts from ₹1,738",4-5 Hr
iGowise BeiGo X4,70 km/Hr,150 km/charge,1.5,1,"Rs 1,10,000 * Onwards","EMI starts from ₹3,181",N/A
Zelio Eeva ZX+,100 km/charge,9-10 Hr,5.0,1,"Rs 70,000 * Onwards","EMI starts from ₹2,024",N/A
Fidato Evtech Easy Go,25 km/Hr,60-80 km/charge,3.6,3,"Rs 86,400 * Onwards","EMI starts from ₹2,487",4-5 Hr
Zelio Legender Plus Premium,55-60 km/charge,7-8 Hr,0.0,0,"Rs 62,500 * Onwards","EMI starts from ₹1,815",N/A
Okaya Faast F2B,70 km/Hr,81 km/charge,4.1,25,"Rs 89,999 * Onwards","EMI starts from ₹2,602",3-4 Hr
Raftaar Galaxy,25 km/Hr,100 km/charge,3.8,4,"Rs 51,900 * Onwards","EMI starts from ₹1,507",4-5 Hr
Zelo Knight,70 km/Hr,60-140 km/charge,5.0,1,"Rs 49,900 * Onwards","EMI starts from ₹1,442",3 Hr
Zelio Logix,70 km/charge,7-9 Hr,0.0,0,"Rs 56,551 * Onwards","EMI starts from ₹1,624",N/A
Zelio Gracy+,25 km/Hr,130 km/charge,0.0,0,"Rs 54,000 * Onwards","EMI starts from ₹1,574",10 Hr
eblu Feo,60 km/Hr,110 km/charge,3.7,4,"Rs 99,999 * Onwards","EMI starts from ₹2,891",5 Hr
Sokudo Select,70 km/Hr,100 km/charge,5.0,1,"Rs 93,889 * Onwards","EMI starts from ₹2,727",4-5 Hr
One Moto Commuta,55 km/Hr,80 km/charge,0.0,0,"Rs 1,30,000 * Onwards","EMI starts from ₹3,759",4 Hr
YUKIE Shiga,25 km/Hr,55-60 km/charge,4.0,1,"Rs 51,115 * Onwards","EMI starts from ₹1,482",8-10 Hr
Okinawa Ridge,45 km/Hr,5-6 Hr,3.7,46,"Rs 70,096 * Onwards","EMI starts from ₹2,027",N/A
Numeros Diplos Max,63 km/Hr,140 km/charge,5.0,1,"Rs 1,13,400 * Onwards","EMI starts from ₹3,290",3-4 Hr
Gaura G5,50 km/Hr,80 km/charge,0.0,0,"Rs 79,999 * Onwards","EMI starts from ₹2,313",4-5 Hr
DAO Zor 405,25 km/Hr,110 km/charge,4.0,1,"Rs 79,999 * Onwards","EMI starts from ₹2,313",N/A
OPG Defy 22,70 km/Hr,100 km/charge,0.0,0,"Rs 99,999 * Onwards","EMI starts from ₹2,891",3-4 Hr
Okinawa Dual 100,60 km/Hr,129 km/charge,4.1,36,"Rs 1,19,085 * Onwards","EMI starts from ₹3,440",5-6 Hr
EeVe Atreo,25 km/Hr,75-85 km/charge,0.0,0,"Rs 68,999 * Onwards","EMI starts from ₹1,992",6-7 Hr
Deltic ZGS,45 km/Hr,75 km/charge,4.1,7,"Rs 1,02,490 * Onwards","EMI starts from ₹2,971",5-6 Hr
Wroley Mars,25 km/Hr,75 km/charge,0.0,0,"Rs 71,900 * Onwards","EMI starts from ₹2,085",4 Hr
Sokudo Rapid,70 km/Hr,100 km/charge,0.0,0,"Rs 89,889 * Onwards","EMI starts from ₹2,599",4-5 Hr
